name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff
109 Psc b,6.8,1.152,1075.4,2.051,0.104,1357.0,"Radial Velocity, Astrometry",109 Psc,0.1,1.13,1.79,5600.0
1RXS 1609 b,6.6,1.7,2277081.388074019,305.0,0.25,633.8,Imaging,1RXS 1609,0.048,0.73,1.35,4060.0
2MASS J0103-5515 (AB)b,10.5,1.54,444609.92994983814,84.0,0.04039999999999999,1731.0,Imaging,2MASS J0103-5515,-0.138,0.4,0.94,5573.0
51 Eri Ab,4.1,1.11,10260.0,11.1,0.49,700.0,Imaging,51 Eri A,-0.027,1.75,0.94,5573.0
51 Peg b,0.61,1.2,4.2307966,0.052,0.006900000000000003,1263.8,Radial Velocity,51 Peg,0.18,1.03,1.176,5758.0
55 Cnc Ae,0.02703,0.1737,0.7365478,0.015439,0.027999999999999997,1018.6,"Radial Velocity, Primary Transit",55 Cnc A,0.35,0.9,0.963,5250.0
AB Pic b,12.9,1.75,8.05380809,242.0,0.5399999999999999,755.2,"Imaging, Astrometry",AB Pic,0.04000000000000001,0.9019999999999999,0.94,5285.0
AF Lep b,3.75,1.3,8875.0,8.98,0.012999999999999998,1183.8,Imaging,AF Lep,0.19,1.2,1.25,6130.0
AU Mic b,0.028,0.4273,8.463446,0.07,0.07,569.5,Primary Transit,AU Mic,-0.06999999999999999,0.5,0.75,3700.0
AU Mic c,0.0456,0.2248,18.859023,0.119,0.18,436.0,Primary Transit,AU Mic,-0.06999999999999999,0.5,0.75,3700.0
BD-10 3166 b,0.51,1.03,3.4878,0.046,0.010400000000000006,1586.6,Radial Velocity,BD-10 3166,0.5,0.99,1.71,5400.0
BD-14 3065 Ab,12.37,1.93,4.2889731,0.0656,0.07,2000.0,Primary Transit,BD-14 3065 A,-0.34,1.41,2.35,6935.0
BD+20 594 b,0.0164,0.1989,41.68547,0.2226,0.0,613.0,Primary Transit,BD+20 594,-0.24,0.847,1.088,5748.0
BEBOP-2 (AB)b,2.84,0.9876,188.763,0.867,0.089,790.0,Primary Transit,BEBOP-2 (AB),0.34,2.4398,0.94,6030.0
beta Pic b,11.9,1.35,7707.0,9.93,0.103,1240.8,Imaging,beta Pic,-0.01900000000000003,1.73,1.8,8052.0
beta Pic c,8.89,1.2,1227.0,2.68,0.32,1664.4,Radial Velocity,beta Pic,0.14379999999999998,1.73,1.8,8052.0
COCONUTS-2 b,7.3,1.03,312569402.31427133,6471.0,0.06,496.0,Imaging,COCONUTS-2,0.0,0.37,0.388,3406.0
CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,1066.6,Primary Transit,CoRoT-10,0.26,0.89,0.79,5075.0
CoRoT-11 b,2.33,1.43,2.994325,0.04351,0.0,1573.4,Primary Transit,CoRoT-11,0.04000000000000001,1.27,1.36,6343.0
CoRoT-12 b,0.917,1.44,2.8280517,0.04016,0.07,1019.4,Primary Transit,CoRoT-12,0.15999999999999998,1.078,1.116,5675.0
CoRoT-13 b,1.308,0.885,4.0350906,0.051,0.0,1332.8,Primary Transit,CoRoT-13,0.01,1.09,1.01,5945.0
CoRoT-14 b,7.6,1.09,1.51214,0.027,0.0,1361.2,Primary Transit,CoRoT-14,0.05,1.13,1.21,6035.0
CoRoT-16 b,0.535,1.17,5.35227,0.0618,0.33,1213.6000000000001,Primary Transit,CoRoT-16,0.19,1.098,1.19,5650.0
CoRoT-17 b,2.43,1.02,3.768125,0.0461,0.0,1553.2,Primary Transit,CoRoT-17,0.0,1.04,1.59,5740.0
CoRoT-18 b,3.47,1.31,1.90009057,0.0295,0.08,1020.0,Primary Transit,CoRoT-18,-0.1,0.95,1.0,5440.0
CoRoT-19 b,1.11,1.29,3.8971372,0.0518,0.047,1571.8,Primary Transit,CoRoT-19,-0.02,1.21,1.65,6090.0
CoRoT-1 b,1.03,1.49,1.50896846,0.0254,0.0,1583.6,Primary Transit,CoRoT-1,0.065,1.26,1.29,6355.0
CoRoT-20 b,4.24,0.84,9.2431839,0.0902,0.562,1081.6,Primary Transit,CoRoT-20,0.14,1.14,0.92,5880.0
CoRoT-21 b,2.26,1.3,2.72474,0.0417,0.0,1569.2,Primary Transit,CoRoT-21,0.0,1.29,1.95,6200.0
CoRoT-22 b,0.06,0.4354,9.75598,0.092,0.077,885.0,Primary Transit,CoRoT-22,0.17,1.099,1.136,5939.0
CoRoT-23 b,2.8,1.08,3.6314,0.0477,0.16,847.4,Primary Transit,CoRoT-23,0.05,1.14,1.61,5900.0
CoRoT-24 b,0.018,0.33,5.1134,0.056,0.0,1070.0,Primary Transit,CoRoT-24,0.3,0.91,0.86,4950.0
CoRoT-24 c,0.088,0.44,11.759,0.098,0.0,850.0,Primary Transit,CoRoT-24,0.3,0.91,0.86,4950.0
CoRoT-25 b,0.27,1.08,4.86069,0.0578,0.08,1278.4,Primary Transit,CoRoT-25,-0.01,1.09,1.19,6040.0
CoRoT-26 b,0.52,1.26,4.20474,0.0526,0.0,1332.8,Primary Transit,CoRoT-26,0.01,1.09,1.79,5590.0
CoRoT-27 b,10.39,1.007,3.57532,0.0476,0.065,1500.0,Primary Transit,CoRoT-27,0.1,1.05,1.08,5900.0
CoRoT-28 b,,0.955,5.20851,0.059,0.047,1267.0,Primary Transit,CoRoT-28,0.15,1.01,1.78,5150.0
