name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius,log_mass,mass_source
109 Psc b,6.8,1.152,1075.4,2.051,0.104,1026.1,"Radial Velocity, Astrometry",109 Psc,0.1,1.13,1.79,5600.0,134042.67407496832,0.0119832741910222,233787231068503.97,0.6312849162011173,0.0010712293100241,0.3119656603683663,0.5509507557289126,0.0009298865538404,0.1970240991857673,0.6435754189944134,0.1414995622736994,0.8325089127062363,Observed
112 Psc c,9.866,0.447482,36336.7,22.21,0.174,1316.6,"Radial Velocity, Astrometry",112 Psc,0.31,1.1,1.801,5986.0,120516.161576086,0.0038404573247559,2602853548659.72,0.6107717934480845,0.0242621329866395,1.346548558548474,0.04952723998199,2.752038572572633e-05,0.1883005318619905,0.2542857142857143,-0.8041189655398994,0.9941411111261224,Observed
14 Her b,8.9,0.1969599999999999,1767.56,2.839,0.3683,892.4,"Radial Velocity, Astrometry",14 Her,0.43,0.9,0.708,5311.0,136537.5646188952,0.0100918571856586,98713015868498.1,1.2711864406779665,0.0242621329866395,0.4531653925258572,0.3170130327580134,0.0005657516576523,2.535961969497044,0.2542857142857143,-1.6247546165459938,0.9493900066449128,Observed
14 Her c,7.9,0.191432,52160.0,20.0,0.52,892.4,"Radial Velocity, Astrometry, Imaging",14 Her,0.43,0.9,0.708,5311.0,340083.2,0.0024091968202375,1989047773929.6023,1.2711864406779665,0.0242621329866395,1.3010299956639813,0.045,1.9171779141104296e-05,2.535961969497044,0.2542857142857143,-1.6532226248051225,0.8976270912904415,Observed
1RXS 1609 b,6.6,1.7,2277081.388074019,305.0,0.25,443.0,Imaging,1RXS 1609,0.0419999999999999,0.73,1.35,4060.0,182750.08561643845,0.0008415911388703,2920817725.987637,0.5407407407407407,7.46569713714923e-07,2.484299839346786,0.0023934426229508,4.391586551264254e-07,0.2967027384036985,1.259259259259259,0.5306282510621704,0.8195439355418687,Observed
23 Lib b,1.8,0.176408,258.19,0.81,0.233,1114.8,Radial Velocity,23 Lib,0.25,1.07,1.25,5740.0,125436.45691619578,0.0197117630381326,1654540993385154.5,0.8560000000000001,0.0242621329866395,-0.0915149811213502,1.3209876543209875,0.003873116697006,0.54784,0.2542857142857143,-1.7349557849638702,0.25527250510330607,Observed
23 Lib c,1.9,0.176408,5000.0,5.8,0.12,1182.8,Radial Velocity,23 Lib,0.25,1.07,1.25,5740.0,128131.53470827012,0.0072884949563283,32269451419738.406,0.8560000000000001,0.0242621329866395,0.7634279935629372,0.1844827586206896,0.0002,0.54784,0.2542857142857143,-1.7349557849638702,0.2787536009528289,Observed
2M1510 (AB)b,0.031,0.324504,100.0,0.173251922773307,0.143,493.8,Radial Velocity,2M1510(AB),0.04,0.0659999999999999,0.96,5533.0,1922940.3409090904,0.0108857393560985,9.032184334005978e+16,0.9865269461077844,0.0242621329866395,-0.7613219368304215,0.3809481530912546,0.01,1.0963722511574077,0.2542857142857143,-1.1254574162575706,-1.5086383061657274,Observed
2MASS J0103-5515 (AB)b,10.5,1.54,444609.9299498381,84.0,0.0235999999999999,1731.0,Imaging,2MASS J0103-5515,0.1319999999999999,0.4,0.96,5533.0,333518.90624999994,0.0011870800228475,9.032184334005978e+16,0.9865269461077844,3.4637103138334004e-06,1.9242792860618816,0.0047619047619047,2.24916254145026e-06,1.0963722511574077,0.2542857142857143,0.4317824164255378,1.021189299069938,Observed
2MASS J0437+2651 b,4.0,0.1848,3644779.531342178,118.0,0.21,694.3399999999999,Imaging,2MASS J0437+2651,0.01,0.0164999999999999,0.84,3100.0,8085306.818181817,0.0002034185771379,6632584027.578282,0.0196428571428571,0.0242621329866395,2.071882007306125,0.0001398305084745,2.743650175273436e-07,0.0278385163589245,0.2542857142857143,-1.6884811197745533,0.6020599913279624,Observed
