,name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius
0,109 Psc b,6.8,1.152,1075.4,2.051,0.104,1026.1,"Radial Velocity, Astrometry",109 Psc,0.1,1.13,1.79,5600.0,134042.67407496832,0.011983274191022254,233787231068503.94,0.6312849162011173,0.0010712293100241768,0.3119656603683663,0.5509507557289126,0.0009298865538404314,0.19702409918576735,0.6435754189944134,0.14149956227369942
1,109 Psc c,,0.22719999999999996,8.1127,0.08368221686969649,0.18,1357.0,Radial Velocity,109 Psc,0.1,1.13,1.79,5600.0,112313.32964601765,0.06481083677541295,1.4043836167268608e+17,0.6312849162011173,0.02426213298663954,-1.0773668232004687,13.503466354859468,0.12326352509029052,0.19702409918576735,0.2542857142857143,-1.481924592135141
2,112 Psc b,,0.447482,4.36305,0.054,0.376,1038.8,Radial Velocity,112 Psc,0.31,1.1,1.801,5986.0,120892.42812642895,0.07776486783046209,4.4031079224362694e+17,0.6107717934480845,0.02426213298663954,-1.2676062401770316,20.370370370370374,0.22919746507603625,0.18830053186199058,0.2542857142857143,-0.8041189655398994
3,112 Psc c,9.866,0.447482,36336.7,22.21,0.174,1316.6,"Radial Velocity, Astrometry",112 Psc,0.31,1.1,1.801,5986.0,120516.16157608601,0.003840457324755925,2602853548659.7197,0.6107717934480845,0.02426213298663954,1.346548558548474,0.049527239981990094,2.7520385725726334e-05,0.18830053186199058,0.2542857142857143,-0.8041189655398994
4,11 UMi b,,0.544728,516.22,1.54,0.08,663.4,Radial Velocity,11 UMi,0.04,1.8000000000000003,24.08,4340.0,72963.80776417039,0.0187441505037708,149595137190082.66,0.07475083056478406,0.02426213298663954,0.18752072083646307,1.1688311688311688,0.001937158575801015,0.0001289148825702532,0.2542857142857143,-0.6074686914708588
5,14 And Ab,,1.15022,185.84,0.83,0.0,1681.6,Radial Velocity,14 And A,-0.24,2.2,11.0,4813.0,60400.99827383275,0.0280620092819579,778945839412049.8,0.2,0.02426213298663954,-0.08092190762392612,2.6506024096385548,0.005380972879896685,0.0016528925619834713,0.2542857142857143,0.13995322842664146
6,14 Her b,8.9,0.19695999999999997,1767.56,2.839,0.3683,892.4,"Radial Velocity, Astrometry",14 Her,0.43,0.9,0.708,5311.0,136537.5646188952,0.010091857185658673,98713015868498.1,1.2711864406779663,0.02426213298663954,0.4531653925258572,0.3170130327580134,0.0005657516576523569,2.535961969497044,0.2542857142857143,-1.6247546165459938
7,14 Her c,7.9,0.191432,52160.0,20.0,0.52,892.4,"Radial Velocity, Astrometry, Imaging",14 Her,0.43,0.9,0.708,5311.0,340083.2,0.0024091968202375716,1989047773929.6025,1.2711864406779663,0.02426213298663954,1.3010299956639813,0.045,1.9171779141104296e-05,2.535961969497044,0.2542857142857143,-1.6532226248051223
8,16 Cyg Bb,,0.22888400000000006,799.5,1.68,0.689,1056.4,Radial Velocity,16 Cyg B,0.08,1.01,0.98,5766.0,134805.95921404278,0.013202940983191625,391633639641275.56,1.030612244897959,0.02426213298663954,0.22530928172586284,0.6011904761904762,0.0012507817385866166,1.0731072937296535,0.2542857142857143,-1.474539953986142
9,18 Del Ab,,0.12551599999999996,993.3,2.6,0.08,795.4000000000001,Radial Velocity,18 Del A,-0.052,2.3,8.5,4979.0,56135.917728720975,0.016446473168898544,90912124996224.98,0.27058823529411763,0.02426213298663954,0.414973347970818,0.8846153846153845,0.0010067451927917046,0.0037451658864237733,0.2542857142857143,-2.0753220384966227
