name,mass,radius,orbital_period,semi_major_axis,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,log_radius,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized
109 Psc b,6.8,1.152,1075.4,2.051,"Radial Velocity, Astrometry",109 Psc,0.1,1.13,1.79,5600.0,0.14149956227369942,134042.67407496832,0.011983274191022254,233787231068503.94,0.6312849162011173,0.0010712293100241768,0.3119656603683663,0.5509507557289126,0.0009298865538404314,0.19702409918576735,0.6435754189944134
1RXS 1609 b,6.6,1.7,2277081.388074019,305.0,Imaging,1RXS 1609,-0.0552,0.73,1.35,4060.0,0.5306282510621704,182750.08561643845,0.0008415911388703864,2920817725.9876375,0.5407407407407407,7.46569713714923e-07,2.484299839346786,0.00239344262295082,4.3915865512642535e-07,0.29670273840369854,1.259259259259259
2MASS J0103-5515 (AB)b,10.5,1.54,444609.92994983814,84.0,Imaging,2MASS J0103-5515,-0.15400000000000003,0.4,0.94,5573.0,0.43178241642553783,333518.90624999994,0.0011870800228475137,1.300672220682913e+17,0.9957332605531296,3.4637103138334004e-06,1.9242792860618816,0.004761904761904762,2.24916254145026e-06,1.1466409255295227,0.2542857142857143
51 Eri Ab,4.1,1.11,10260.0,11.1,Imaging,51 Eri A,-0.027,1.75,0.94,5573.0,0.10436001532424286,76970.76185023593,0.006797598139346336,1.300672220682913e+17,0.9957332605531296,0.00010818713450292399,1.0453229787866574,0.15765765765765766,9.746588693957115e-05,1.1466409255295227,0.2542857142857143
51 Peg b,0.61,1.2,4.2307966,0.052,Radial Velocity,51 Peg,0.18,1.03,1.176,5758.0,0.1823215567939546,127301.71733167073,0.07722555983271295,4.065181634726687e+17,0.8758503401360545,0.283634528778812,-1.2839966563652008,19.80769230769231,0.2363621073156767,0.6333084161518743,1.0204081632653061
55 Cnc Ae,0.02703,0.1737,0.7365478,0.015439,"Radial Velocity, Primary Transit",55 Cnc A,0.35,0.9,0.963,5250.0,-1.7504256057350778,147415.9147499842,0.13170373729654156,3.187123401943377e+18,0.9345794392523366,0.2358299081200161,-1.8113808327921512,58.29393095407734,1.3576851359816702,1.007775156655373,0.18037383177570093
AB Pic b,12.9,1.75,8.05380809,242.0,"Imaging, Astrometry",AB Pic,0.04000000000000001,0.9480000000000001,0.94,5285.0,0.5596157879354227,137950.0679347825,0.05859182636469336,13321380540.957329,0.9957332605531296,0.02426213298663954,2.383815365980431,11.632943684351554,0.12416486614263639,1.1466409255295227,0.2542857142857143
AF Lep b,3.75,1.3,8875.0,8.98,Imaging,AF Lep,0.19,1.2,1.25,6130.0,0.26236426446749106,108769.64559061061,0.00635752158405326,17510124126492.426,0.96,0.00014647887323943661,0.9532763366673044,0.13363028953229397,0.00011267605633802817,0.6144,1.04
AU Mic b,0.028,0.4273,8.463446,0.07,Primary Transit,AU Mic,0.010800000000000004,0.5,0.75,3700.0,-0.8502689363321577,208833.58074319523,0.051967363116935006,3.8248183673469384e+16,0.6666666666666666,0.05048770914353327,-1.154901959985743,7.142857142857142,0.1181551817073093,1.1851851851851851,0.5697333333333333
AU Mic c,0.0456,0.2248,18.859023,0.119,Primary Transit,AU Mic,0.010800000000000004,0.5,0.75,3700.0,-1.4925441609626011,211055.89948160917,0.03964675431778045,1.3234665630958268e+16,0.6666666666666666,0.01192002364067322,-0.9244530386074693,4.201680672268908,0.05302501619516557,1.1851851851851851,0.29973333333333335
BD-10 3166 b,0.51,1.03,3.4878,0.046,Radial Velocity,BD-10 3166,0.5,0.99,1.71,5400.0,0.02955880224154443,124976.87227747186,0.0828678605798099,4.018457466918715e+17,0.5789473684210527,0.2953150983427949,-1.337242168318426,21.52173913043478,0.28671368771145134,0.19799164475259146,0.6023391812865497
BD-14 3065 Ab,12.37,1.93,4.2889731,0.0656,Primary Transit,BD-14 3065 A,-0.34,1.41,2.35,6935.0,0.6575200029167941,65162.10820080267,0.09610154844547308,5.374996464043502e+17,0.6,0.44999116455171984,-1.1830961606243398,21.49390243902439,0.23315604380918128,0.10864644635581709,0.8212765957446808
BD+20 594 b,0.0164,0.1989,41.68547,0.2226,Primary Transit,BD+20 594,-0.24,0.847,1.088,5748.0,-1.6149530931222105,157541.11867042448,0.03355214777182975,2.2030112647434996e+16,0.7784926470588235,0.004771446741514489,-0.6524748400013105,3.8050314465408803,0.0239891741654826,0.6576528768541369,0.1828125
BEBOP-2 (AB)b,2.84,0.9876,188.763,0.867,Primary Transit,BEBOP-2 (AB),0.34,2.4398,0.94,6030.0,-0.01247752151111258,54673.44620882631,0.028859054270830093,1758859114354473.8,0.9957332605531296,0.005231957534050635,-0.06198090252378971,2.814071510957324,0.0052976483738868315,1.1466409255295227,0.2542857142857143
beta Pic b,11.9,1.35,7707.0,9.93,Imaging,beta Pic,0.08360000000000001,1.73,1.8,8052.0,0.30010459245033816,60662.87269160334,0.008095501505163265,42630121249224.086,0.961111111111111,0.00017516543402101986,0.9969492484953811,0.17421953675730112,0.0001297521733489036,0.296639231824417,0.75
beta Pic c,8.89,1.2,1227.0,2.68,Radial Velocity,beta Pic,0.08360000000000001,1.73,1.8,8052.0,0.1823215567939546,78214.04436383463,0.013723664729618005,585255463740200.4,0.961111111111111,0.0009779951100244498,0.42813479402878885,0.6455223880597014,0.0008149959250203749,0.296639231824417,0.6666666666666666
COCONUTS-2 b,7.3,1.03,312569402.31427133,6471.0,Imaging,COCONUTS-2,0.0,0.37,0.388,3406.0,0.02955880224154443,360560.97972972965,0.0001300782860437479,3213925.273750168,0.9536082474226804,3.295268162442822e-09,3.8109713998222077,5.7178179570390974e-05,3.199289478099827e-09,6.334415502595124,2.654639175257732
CoRoT-10 b,2.75,0.97,13.2406,0.1055,Primary Transit,CoRoT-10,0.26,0.89,0.79,5075.0,-0.030459207484708574,149299.36220310754,0.05006389815472458,5.959904037560926e+16,1.1265822784810127,0.07325951996133105,-0.9767475403662885,8.436018957345972,0.07552527831065058,1.805131034258953,1.2278481012658227
CoRoT-11 b,2.33,1.43,2.994325,0.04351,Primary Transit,CoRoT-11,0.04000000000000001,1.27,1.36,6343.0,0.3576744442718159,108850.54873239846,0.09129983976869038,8.550680497529983e+17,0.9338235294117646,0.47757007004917634,-1.361410916707283,29.188692254654104,0.333965083950473,0.5048786383065336,1.051470588235294
CoRoT-12 b,0.917,1.44,2.8280517,0.04016,Primary Transit,CoRoT-12,0.15999999999999998,1.078,1.116,5675.0,0.36464311358790924,123479.13451397493,0.08922493246369301,6.430963655590692e+17,0.9659498207885304,0.5091844678794238,-1.396206295863037,26.842629482071715,0.35360032491626653,0.7755792422924055,1.290322580645161
CoRoT-13 b,1.308,0.885,4.0350906,0.051,Primary Transit,CoRoT-13,0.01,1.09,1.01,5945.0,-0.12216763397420753,122742.80744365563,0.07941394194870342,4.8024967941200506e+17,1.0792079207920793,0.21932593037687925,-1.2924298239020637,21.372549019607845,0.24782591003037205,1.0579432612411324,0.8762376237623762
CoRoT-14 b,7.6,1.09,1.51214,0.027,Primary Transit,CoRoT-14,0.05,1.13,1.21,6035.0,0.08617769624105241,116169.65806025507,0.11218934972545454,1.8196236358033267e+18,0.933884297520661,0.7208327271284405,-1.5686362358410126,41.85185185185185,0.6613144285582022,0.6378555409607685,0.9008264462809918
CoRoT-16 b,0.535,1.17,5.35227,0.0618,Primary Transit,CoRoT-16,0.19,1.098,1.19,5650.0,0.1570037488096647,121369.7904455245,0.07254881610675441,2.6681905464176118e+17,0.9226890756302523,0.21859883750259235,-1.2090115249111841,17.766990291262136,0.18683661325007894,0.6515705639645875,0.9831932773109243
CoRoT-17 b,2.43,1.02,3.768125,0.0461,Primary Transit,CoRoT-17,0.0,1.04,1.59,5740.0,0.01980262729617973,144926.50740953698,0.07686975423081213,5.1079391954677414e+17,0.6540880503144654,0.2706916569912092,-1.3362990746103518,22.559652928416487,0.2653839774423619,0.25872712721587965,0.6415094339622641
CoRoT-18 b,3.47,1.31,1.90009057,0.0295,Primary Transit,CoRoT-18,-0.1,0.95,1.0,5440.0,0.2700271372130602,140631.48322673398,0.09755006918527984,1.0063558298879633e+18,0.95,0.6894408196552442,-1.530177984021837,32.20338983050848,0.526290702026904,0.95,1.31
CoRoT-19 b,1.11,1.29,3.8971372,0.0518,Primary Transit,CoRoT-19,-0.02,1.21,1.65,6090.0,0.25464221837358075,109270.29406752363,0.08351489367936611,5.126366488312637e+17,0.7333333333333334,0.3310122107068748,-1.285670240254767,23.35907335907336,0.25659861295106573,0.26936026936026936,0.7818181818181819
CoRoT-1 b,1.03,1.49,1.50896846,0.0254,Primary Transit,CoRoT-1,0.065,1.26,1.29,6355.0,0.3987761199573678,138950.19957661553,0.10576291753795934,2.5281031299222287e+18,0.9767441860465116,0.9874295185732378,-1.595166283380062,49.60629921259843,0.6627043748813677,0.5869504152674188,1.1550387596899225
